row_id,query_company,query_city,query_state,severity,issue_codes,narrative
7890224,Blood Cancer United Inc - United States,Rye Brook,NY,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7893800,Perfect Planning Events,Woodbridge,VA,info,,No automated issues flagged; still spot-check for domain edge cases.
7894018,"CU Cooperative Systems, Inc. dba CO-OP Solutions",Rancho Cucamonga,CA,info,,No automated issues flagged; still spot-check for domain edge cases.
7894031,"CU Cooperative Systems, Inc. dba CO-OP Solutions",Durham,CT,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7895262,USSD,Denver,CO,info,,No automated issues flagged; still spot-check for domain edge cases.
7895819,Lanthrop Gpm,Columbia,SC,info,,No automated issues flagged; still spot-check for domain edge cases.
7896046,Emergency Medical Services/DSHS,Austin,TX,info,,No automated issues flagged; still spot-check for domain edge cases.
7898313,"Roy H. Long Realty Company, Inc. dba Long Realty",Tucson,AZ,info,,No automated issues flagged; still spot-check for domain edge cases.
7899551,First Alliance Church,Lexington,KY,info,,No automated issues flagged; still spot-check for domain edge cases.
7904800,First Baptist Church,CORSICANA,TX,info,,No automated issues flagged; still spot-check for domain edge cases.
7904949,FIRST Global Agency on behalf of Nick West,New York,NY,med,STRONG_SCORE_NON_EXACT_NAME;HYBRID_SEMANTIC_LED_AT_CEILING,Top-1 is a related but non-identical name (query_and_top1_names_related_non_equal) at 0.9662; rationale should justify suffix/token gaps. Hybrid (semantic-led) at a ceiling score with non-exact name overlap — defensibility risk for SMEs.
7913800,HB,Buffalo,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7918771,X-Camp Academy,Saratoga,CA,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7918774,WAHUPA Educational Services,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7918779,Southern University Upward Bound,Baton Rouge,LA,info,,No automated issues flagged; still spot-check for domain edge cases.
7918783,Washington School for Girls,Washington,DC,info,,No automated issues flagged; still spot-check for domain edge cases.
7918787,Saint Joseph High School,Metuchen,NJ,info,,No automated issues flagged; still spot-check for domain edge cases.
7918803,Wisconsin Evangelical Lutheran Church,Waukesha,WI,info,,No automated issues flagged; still spot-check for domain edge cases.
7918805,Soluz LLC,Dorado,PR,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7918806,She's Still Missing,Bedford,TX,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7918807,Work N Roll,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918809,Quadcode,Kato Polemidia,Cyprus,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918810,Worldwide Elections,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918811,Universidad de Georgetown,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918827,Relaunch to Rich,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918830,"Greenlight Tour & Travel, Inc.  d/b/a GL Travel",Huntington Beach,CA,info,,No automated issues flagged; still spot-check for domain edge cases.
7918831,"Greenlight Tour & Travel, Inc.  d/b/a GL Travel",Granite Bay,CA,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7918832,"Greenlight Tour & Travel, Inc.  d/b/a GL Travel",Addison,TX,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7918845,SCFP - Syndicat canadien de la fonction publique,Quebec City,QC,info,,No automated issues flagged; still spot-check for domain edge cases.
7918850,Social Fresh,Naucalpan,Estado de Mexico,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918851,"The Inner Circle of NY Political Journalists, Inc.",New York,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7918858,Stout Real Estate,,,high,GATE_A_TOP5_TIE_CLUSTER,No automated issues flagged; still spot-check for domain edge cases.
7918860,Rayna Properties,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7918896,SNAMO - AVEO Table + Bar,Springfield,MA,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918897,SNAMO - AVEO Table + Bar,Princeton,NJ,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918909,North End Teleservices,Omaha,NE,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7918915,Pimcore,SALZBURG,,info,,No automated issues flagged; still spot-check for domain edge cases.
7918916,Prosper Capital,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7918920,"WarnerMedia, LLC",Chicago,IL,info,,No automated issues flagged; still spot-check for domain edge cases.
7918921,NPB Technologies,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7918928,WACO Theater Center,Brooklyn,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7918954,Rensenhouse Industrial Solutions KC,Kansas City,MO,info,,No automated issues flagged; still spot-check for domain edge cases.
7918984,CSI TEXAS DMC,Dallas,TX,info,,No automated issues flagged; still spot-check for domain edge cases.
7919032,Kingdom Alliance Repour and Relaxation,Leesburg,FL,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919049,DLM Governance July 2026,Fairport,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919062,BCD/Austin,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919066,ACI Cartels & TCOs and Global AI & Trade Tech,New York,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919089,Atlantic (USA) LC.,New York City,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919131,Davidson - Investor Conference 2026,Denver,CO,info,,No automated issues flagged; still spot-check for domain edge cases.
7919141,Bschool / 2610-mit-sfo-mba – San Francisco,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919153,Convención ORO AVLA 2027 Colombia Opcion 2,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7919156,ACCA Member Recognition,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919293,Pro-ven/129389/US,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919295,Relay Resources,Portland,OR,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919297,WallachBeth,Boca Raton,FL,info,,No automated issues flagged; still spot-check for domain edge cases.
7919298,Superior Environmental Solutions,CRESCENT,IA,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919301,System of Care Convening,Portland,OR,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919302,Portland Bottling Company,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7919307,RHM Meeting,Markham,ON,info,,No automated issues flagged; still spot-check for domain edge cases.
7919309,So&Co/Conference/Toronto,Ramat Hasharon,Tel Aviv,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919311,SAFTE-FAST User Conference,Waterdown,ON,info,,No automated issues flagged; still spot-check for domain edge cases.
7919312,Shoppa,Fort Worth,TX,med,STRONG_SCORE_NON_EXACT_NAME;DUPLICATE_ROUNDED_SCORES_IN_TOP5;HYBRID_SEMANTIC_LED_AT_CEILING,Top-1 is a related but non-identical name (query_and_top1_names_related_non_equal) at 0.9657; rationale should justify suffix/token gaps. Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers. Hybrid (semantic-led) at a ceiling score with non-exact name overlap — defensibility risk for SMEs.
7919313,Sacred Souls,Detroit,MI,info,,No automated issues flagged; still spot-check for domain edge cases.
7919314,Ontario Skate League Championships,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919320,Pyramid Systems Annual Excellence Awards,Fairfax,VA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919333,RDB Hospitality -Rick Marino Group-  - Toronto,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919334,September Group,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7919430,241060/BCD M&E – UK/New York,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919432,Niobrara Capital,New York,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919434,Panorama Chicago Meetup,Boston,MA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919436,Niantic-2026 Jun-Staff/Production Room Block,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919441,Parthenon Meetings Group,Brentwood,TN,info,,No automated issues flagged; still spot-check for domain edge cases.
7919442,See Agency and Agent,Cedar Falls,IA,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919444,SAEOPP 2028 Annual Conference,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919451,The Washington Institute,,,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919452,SEDG Society for Experiential Graphic Design,Washington,DC,info,,No automated issues flagged; still spot-check for domain edge cases.
7919453,SAS WIRE 2026,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919455,NOSAC Spring Meetin,Austin,TX,info,,No automated issues flagged; still spot-check for domain edge cases.
7919457,WASCC Conv/Assoc,New York,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919459,Stumm Executive Sales Trip,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919461,"Waldorf Astoria Buckhead, GA - Room Blocks Feb 2026",,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919476,Record Vacations Grupo Domomania,Zapopan,Jalisco,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919487,Sonic Travel & Tour,Monterey Park,CA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919495,Shackman NY,New York,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919498,Trinity Travel Tours,Orlando,FL,info,,No automated issues flagged; still spot-check for domain edge cases.
7919525,4Minds / Padrao - ID 180299 - INNOVATION SUMMIT - Orlando,Mexico City,Col. Juarez,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919614,2029 International Lion of Judah Conference,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919615,AXIS Annual April 2027,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919647,CRLA 2026 Retreat,Arlington,VA,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919659,PFI Swiss Emerald Azura,Miami,FL,info,,No automated issues flagged; still spot-check for domain edge cases.
7919660,Virtual Learning Leadership Alliance,Peoria,IL,info,,No automated issues flagged; still spot-check for domain edge cases.
7919661,Texas Chapter of the International Association of Electrical Inspectors,Richardson,TX,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919662,WynnLuxe Curations,Syracuse,CT,info,,No automated issues flagged; still spot-check for domain edge cases.
7919668,SLSA (Student Loan Servicing Alliance),Glendale,AZ,info,,No automated issues flagged; still spot-check for domain edge cases.
7919671,Samvid Scholars,New York,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919672,Pearl Behavioral Health Services,Huntsville,AL,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919683,Annual Meeting of the Joint Society ASSCT,Clewiston,FL,info,,No automated issues flagged; still spot-check for domain edge cases.
7919688,2027 SCABB ANNUAL MEETING,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919700,"SEW, Inc.",Irvine,CA,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919701,Sigma Phi Society,Highland Park,IL,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919702,VOQAL,Boulder,CO,info,,No automated issues flagged; still spot-check for domain edge cases.
7919704,OALA Training,Kettle and Stony Point,ON,info,,No automated issues flagged; still spot-check for domain edge cases.
7919706,SBCI Conferance,Markham,ON,info,,No automated issues flagged; still spot-check for domain edge cases.
7919707,Sites Unlimited Canada,Any Town,ON,info,,No automated issues flagged; still spot-check for domain edge cases.
7919716,Cruise SCJ Feb 2026,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919727,OMACV Meetings,Atlanta,GA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919737,Société Makivik,Ville Saint Laurent,QC,info,,No automated issues flagged; still spot-check for domain edge cases.
7919738,See Agency and Agent,Arlington,VA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919755,Schattastrum Industries,Buffalo,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919760,University of Maryland Orthopaedic Assoc.,BALTIMORE,MD,info,,No automated issues flagged; still spot-check for domain edge cases.
7919762,RFP 93: TD Bank-2026 May-Spring Management Conference (SMC),,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919764,Secretary of Economic Development of Puerto Rico,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7919765,Snap Inc,Media City,Dubai,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919767,SWM/Pharma US/Southern USA,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7919771,SAT Mexico | TRAXION CEO Summit 2026,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919773,PULSE May 26,Saint George,UT,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919787,Southern Ute Indian Tribe Growth Fund,Littleton,CO,info,,No automated issues flagged; still spot-check for domain edge cases.
7919789,RFP#117 Grindr-2026 July-Summer All Team Offsite (SoCal),,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919790,Q. Digital,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919791,POP MART,Beijing,Beijing,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919792,Shanghai meiyin/Galaxy bu meeting/San Diego,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919794,Windhorse Integrative Mental Health,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919797,PR6055184 - Labor Summit 2026 - PepsiCo,,,info,,No automated issues flagged; still spot-check for domain edge cases.
7919801,U GLOW Group | Reconocimiento a Proveedores NAR 2026 OB | Hilton,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919804,Spring 2026 District Meeting,Missouri City,TX,info,,No automated issues flagged; still spot-check for domain edge cases.
7919805,Resort Lovers International,Houston,TX,info,,No automated issues flagged; still spot-check for domain edge cases.
7919808,smorgasbord,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919809,Speakpreneur,Naples,FL,info,,No automated issues flagged; still spot-check for domain edge cases.
7919810,VICTORY PACKAGING,Annapolis,MD,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919821,Radicle Loyalty,Toronto,ON,info,,No automated issues flagged; still spot-check for domain edge cases.
7919824,WedgewoodUSA,New York,NY,info,,No automated issues flagged; still spot-check for domain edge cases.
7919828,Yahoo Holdings Inc,Centreville,VA,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919829,PACS Healthcare Elevated,Salt Lake City,UT,info,,No automated issues flagged; still spot-check for domain edge cases.
7919832,Virtual Cantina Network,Rockland,MA,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919833,Varian Inc.,Jundiai,Sao Paulo,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919836,Southern Power Company,Thomaston,GA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919839,Washington Surveying and Rating Bureau Board Meeting,Seattle,WA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919840,"VNGR Beverage, LLC. (poppi)",Austin,TX,info,,No automated issues flagged; still spot-check for domain edge cases.
7919841,Niagara TEM Summit,Temple,TX,med,DUPLICATE_ROUNDED_SCORES_IN_TOP5,Two or more top-5 rows of DIFFERENT entities share the same score to 4 decimals; ordering looks arbitrary without exposed tie-breakers.
7919843,Peloton,Chicago,IL,info,,No automated issues flagged; still spot-check for domain edge cases.
7919849,WPBF Media,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919850,Skoll Foundation,,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION;DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only). Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919852,"The Western Reserve Chapter of The Links, Incorporated",Washington,DC,info,,No automated issues flagged; still spot-check for domain edge cases.
7919855,Southwest Mississippi Community College Band,HATTIESBURG,MS,info,,No automated issues flagged; still spot-check for domain edge cases.
7919859,PANAMORL - RIO DE JANEIRO - JUN 2026 - NOVO GRO,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919861,RevOps & CTO 2026 Offsite (XQ7VA4),,,info,NO_QUERY_GEO_RANK1_HAS_LOCATION,"Query omits city/state and rank-1 carries an address, but no same-name bare row ties it — acceptable when rank-1 is the best/only-named match (info only)."
7919863,Restaurant Strategy,Jenkintown,PA,info,,No automated issues flagged; still spot-check for domain edge cases.
7919866,Notre Dame International Alumni Association,WARREN,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919874,SWM/Pharmaceutical Investigator Meeting/San Francisco,,,info,DUPLICATE_ROUNDED_SCORES_IN_TOP5,"Top-5 score ties are all the same entity (multi-office); expected, not a ranking defect (info only)."
7919875,San Lorenzo Unified School District,San Lorenzo,CA,info,,No automated issues flagged; still spot-check for domain edge cases.
